season,games_played,minutes_played,points,field_goals_made,field_goals_attempted
2023-24,74,32.7,26.4,8.8,19.5
2022-23,56,34.7,29.4,10.0,20.2
2021-22,64,34.5,25.5,8.4,19.1
2020-21,63,34.2,32.0,10.4,21.7
2019-20,5,27.9,20.8,6.6,16.4
2018-19,69,33.8,27.3,9.2,19.4
2017-18,51,32.0,26.4,8.4,16.9
2016-17,79,33.4,25.3,8.5,18.3
2015-16,79,34.2,30.1,10.2,20.2
2014-15,80,32.7,23.8,8.2,16.8
2013-14,78,36.5,24.0,8.4,17.7
2012-13,78,38.2,22.9,8.0,17.8
2011-12,26,28.1,14.7,5.6,11.4
2010-11,74,33.6,18.6,6.8,14.2
2009-10,80,36.2,17.5,6.6,14.3
